,EBZ,EBPA(0.3),EBPA(0.35),EBPA(0.40),EBPA(0.45),EBPA(0.50)
20,"[0.5170407881872481, 0.40227073323863705, 0.5912065229891009, 0.5455633096864401, 0.4711343242483481]","[0.08412590926531771, 0.2956794313762694, 0.45627412953669255, 0.28498316980576366, 0.37416426390059054]","[0.19023474183267663, 0.31665756432321124, 0.5069811892628414, 0.31086373741459816, 0.4233766796700389]","[0.34720335018054027, 0.3482815484538987, 0.5454948808268315, 0.32629805385495325, 0.4326692549416651]","[0.4438103490406048, 0.3726257359380689, 0.560593545468725, 0.3517498382734624, 0.4398238273149615]","[0.4848182358928306, 0.38077949821641854, 0.5690636571386191, 0.35677289197014705, 0.4454005332108931]"
21,"[0.19433151590987285, 0.5636822327342317, 0.40529637897970106, 0.46212423387765544, 0.3732355583212873]","[0.22108653195253336, 0.48630630825039756, 0.412135558875233, 0.18796198669650177, 0.1947697502417265]","[0.19339743937838527, 0.4718297352659263, 0.4270744922455494, 0.31973899574626585, 0.334512077720287]","[0.18211467481850263, 0.5031910173165466, 0.3882726699063017, 0.41768513576719823, 0.34128276258824053]","[0.1841262363623143, 0.5377560282647049, 0.37929709959048297, 0.4587683574586875, 0.3314379470263208]","[0.205187507525461, 0.5408637886761789, 0.39839368804840447, 0.5058051818369746, 0.4216750100436285]"
22,"[0.5940457640900336, 0.5977294184390669, 0.5961224739953529, 0.5951789970295753, 0.5405956307440534]","[0.1521184203134811, 3.6112274132138467e-06, 0.09974417286952819, 4.9316674865074184e-05, 0.1800816397746986]","[2.381431937281686e-05, 0.023044471952353707, 0.12132828102595916, 0.00016187261932254504, 0.23824833141490576]","[0.08092561163065926, 0.01354407687520287, 1.0275237754320266e-05, 4.01307437614129e-07, 0.09519339937375682]","[0.23762025635203576, 0.3673062691889135, 8.938661322233088e-08, 0.4009289770826082, 0.0750881147529836]","[2.926389703894472e-07, 0.5354381974790322, 0.23352106888234625, 2.0579515578877938e-05, 0.3098515379849539]"
23,"[0.4899471192436512, 0.5693571123312933, 0.5757956964854651, 0.5710920203301157, 0.5306752004564477]","[0.5248948193767659, 1.5099812356034192e-07, 0.11195203218168326, 0.5810692317301153, 0.009419877569800672]","[0.18479792556560481, 0.23791599184030565, 0.18158920129808442, 0.13225710114182732, 0.3281650177593537]","[0.15035427594228667, 0.19680314227922935, 0.28845598796593885, 0.2815976764151602, 0.18629779419935766]","[0.18409896677878212, 0.1919698344886882, 0.2304001815819806, 0.2567673332679875, 0.25851255653525385]","[0.27297208273223206, 0.22431738522846534, 0.18843586867268325, 0.339590771153953, 0.13952611208410393]"
24,"[0.3603027769094954, 0.45268406303417086, 0.5963514235801564, 0.5979094117481852, 0.4591725404861907]","[0.08204536388634764, 0.2415449547686409, 0.40940089004366753, 0.523210681593044, 0.236409164187263]","[0.25259887439001727, 0.22138450106648888, 0.3720710170389442, 0.3712093716403545, 0.2744038950546218]","[0.30881533704788433, 0.4322759129072117, 0.5434857295898138, 0.48687076207005486, 0.22825589877696484]","[0.36101650028314425, 0.4457307414156503, 0.48078829997072636, 0.5693912831434925, 0.39356208643401025]","[0.3583650342930782, 0.45619936627527813, 0.5987927404228587, 0.5981843131343447, 0.45861469509609265]"
25,"[0.557885065375878, 0.5726617180596258, 0.5730854117779087, 0.5876881766493943, 0.45104090851645384]","[0.17746289404982307, 0.24834478064339716, 0.18604328374095003, 0.4518443774386527, 0.43274654245093636]","[0.31687697021706573, 0.24897238558064727, 0.24595009276197766, 0.514504521114071, 0.42138189513905977]","[0.31659750633328754, 0.2566728039394379, 0.2482645429293826, 0.5101945997327673, 0.4197667637052026]","[0.32251001417112724, 0.25737882164964465, 0.24543278811475255, 0.5620691086537679, 0.4389053345845628]","[0.375611099327923, 0.4843854136263449, 0.4854317694561928, 0.5827637910743717, 0.46733223839356575]"
26,"[0.5689069729621045, 0.4193086351874804, 0.5528303007071794, 0.5489921956917913, 0.5514000238933936]","[0.12066966841064197, 0.04618402770205865, 0.006211403566490414, 1.315980226568314e-06, 1.1094982668491404e-05]","[0.19262086439322168, 0.16406299252250234, 0.1076122211390611, 0.0006303519700719962, 0.03731968531299801]","[0.14239339655808148, 0.12664308906533084, 0.018787498017477255, 3.4517400713252044e-06, 0.031048469414459268]","[0.1154761282653951, 0.28641162763096306, 0.00015359632159805958, 3.8221094750268136e-05, 0.015497471255983553]","[4.421858587955185e-06, 0.1380597144797736, 0.12540465559159475, 0.16776860124298953, 0.04182752570648274]"
27,"[0.5533789230417786, 0.5526515311604769, 0.5653860255691263, 0.5786694196934387, 0.44450785271003546]","[0.30695068128928804, 0.31476941571994477, 0.1866669709236658, 0.09517451062626947, 0.07602130690796971]","[0.357628616103454, 0.3125073294973917, 0.2285814037003402, 0.10426134633944628, 0.16891529605639677]","[0.3819122280292656, 0.304033662792458, 0.28907505816131396, 0.3109322614362454, 0.24849758880980044]","[0.42469058967178575, 0.31709737878358224, 0.3733662559665597, 0.39088514665350516, 0.3269236573497454]","[0.42515683704073337, 0.31600148323340504, 0.3824343959294565, 0.41064664866210576, 0.3636950551661763]"
28,"[0.4934856977469392, 0.5880094445408715, 0.5548021766051221, 0.4865924929384222, 0.5557916838255256]","[0.4151113641238978, 0.26537007029995174, 8.18345820219335e-07, 0.48357344866687124, 0.2042761146315475]","[0.37042819418711304, 0.2214070586581376, 0.09403924750463155, 0.44495583289965657, 0.21798914499497768]","[0.38930386053175825, 0.24728710817727628, 0.27339587926304265, 0.46470212049867343, 0.2356002987957566]","[0.4179569648982263, 0.2446415744106667, 2.3147872723061624e-06, 0.45984020498160183, 0.21931692642002076]","[0.4884270341141005, 0.5103322518546111, 0.5095219746151607, 0.4796272553236558, 0.5090621761705989]"
29,"[0.3820954814741364, 0.5574332161802217, 0.5573419475923046, 0.5705684328337006, 0.5719663507440689]","[0.2991691222189339, 1.629541090952813e-08, 0.14451956563300972, 0.07007097742735091, 0.07538200952258711]","[0.33778650468437876, 0.31921243723552417, 0.3016326014225392, 0.3529099899253556, 0.3494556648551116]","[0.35430318151770757, 0.37199571056011993, 0.3623638554387043, 0.3849176971389189, 0.4051537858821679]","[0.3714832640780644, 0.44124886179174627, 0.44166680810271675, 0.45928116152387033, 0.4686330104897163]","[0.38132224044520957, 0.4989186071620584, 0.5117875262184375, 0.5109887626130253, 0.5195688643431436]"
