,EBZ,EBPA(0.3),EBPA(0.35),EBPA(0.40),EBPA(0.45),EBPA(0.50)
85,"[0.599883892462366, 0.5999860341433225, 0.599750888487248, 0.5999893236362679, 0.4495852844577337]","[0.18408935331791965, 0.2520232903932762, 0.34011989711609947, 0.16449155340691912, 0.4009780493335885]","[0.3346530660204543, 0.3579159007632555, 0.28157777662575423, 0.35895197631293907, 0.4171764361103121]","[0.4402457053156317, 0.12868686761114734, 0.5970395819035956, 0.18287748388635972, 0.4133571321588583]","[0.4560158600277203, 0.37813506823278464, 0.498982419277499, 0.44714857831195676, 0.4260901896119921]","[0.46543302300967626, 0.5240568044737601, 0.530372234468504, 0.5239975893236853, 0.4467310423419709]"
86,"[0.42118423238053093, 0.5935042450073829, 0.5967629954464188, 0.5945558341037571, 0.5875574548272087]","[0.10674658280668115, 0.5973474355300715, 0.2202504584927406, 0.032108110102428755, 0.10157619035027299]","[0.00018274002036300363, 0.2667027909882711, 0.12634641173172556, 0.005630236205849126, 0.10172198098084184]","[0.3152984282913618, 0.5999999999992424, 0.09624341775460543, 0.22466855345489212, 3.383561442138472e-08]","[0.12084439639221622, 0.0049781623501508054, 0.06730675853587187, 0.041317969397269505, 0.07163285393529772]","[0.2781630263759549, 0.45249901992069386, 0.4192836915225495, 0.41697107642467446, 0.4326100464061704]"
87,"[0.4963476739565812, 0.5586443042085492, 0.541209911431445, 0.5903853692110865, 0.5219300277022866]","[0.24923526348273906, 0.12173411508636989, 0.259520866113932, 0.1680275983202103, 0.15004226845032054]","[0.32984999910408785, 0.14239182518827098, 0.2643132385800694, 0.1555459207068428, 0.23913180136892243]","[0.26469910762619275, 0.28091984202289455, 0.2684330317391391, 0.17050244304322848, 0.2382922675494843]","[0.03509335622720067, 0.1308418617877386, 0.2311832456818853, 0.18133195967195592, 0.20244072398038193]","[0.19151902963824197, 0.1271227049328153, 0.25443742496734034, 0.16801775187335177, 0.08151111762408692]"
88,"[0.5170826078004773, 0.5534422639575853, 0.5162328350293716, 0.329988645692713, 0.46777090857433357]","[0.14948318893188706, 0.3510348842735286, 0.38589475765441317, 0.2135422030251175, 0.39969717209540556]","[0.313248584360148, 0.44352452982393664, 0.38523393048936583, 0.22975024976795744, 0.37899644283942735]","[0.3409785956087372, 0.49335079078665456, 0.4544828866446806, 0.26711092375549106, 0.43228330706900675]","[0.5089015187487446, 0.5322840724840291, 0.4670254409166019, 0.3033608737637915, 0.44619116100129463]","[0.5508705963942535, 0.555510073016386, 0.49535247996422893, 0.31347984083784164, 0.4606684761404938]"
89,"[0.5902319516379888, 0.5797975130835054, 0.5175134513743757, 0.573491837960169, 0.5984952244143837]","[0.0659612332590136, 0.22898528928238282, 0.2479966667500767, 0.2700969889452911, 0.32599834557546226]","[0.07289595072011423, 0.17119847773990482, 0.27203356134614576, 0.2639364683617538, 0.3478771634523803]","[0.30065092138448435, 0.2778076182293956, 0.3169268922673366, 0.3131407758439402, 0.32864562757805316]","[0.3193209142569743, 0.314583272260593, 0.3375140337430734, 0.3677362189436859, 0.3545357932054334]","[0.3802920249045435, 0.3548796464956463, 0.3668663274804539, 0.39452910336192115, 0.3833930624632127]"
90,"[0.515116212797959, 0.5492773211707835, 0.44997642375571933, 0.33613313514057097, 0.5777216802827168]","[0.1387242318217886, 0.24360346632587326, 0.1840685940840492, 0.29996567960688125, 0.3419388726390954]","[0.1769290169903034, 2.550979000259801e-07, 0.07389948952024894, 0.2764877081063898, 0.20803974180659524]","[0.13942350061809583, 1.9427846530417625e-06, 0.4547950425631926, 0.35792715186732527, 0.22400108859554457]","[0.44670546334363337, 0.43687491817851587, 0.3615264779176274, 0.33981772641406693, 0.4877819796824787]","[0.49611029865520684, 0.5119247145335866, 0.40649585958737067, 0.35105396853764514, 0.5255189515545247]"
91,"[0.5824090728094409, 0.5518668812006216, 0.5098043805741214, 0.5733170787453025, 0.5770412178998731]","[0.21865043870242717, 0.018605308062154657, 0.26366189941222706, 0.2219304673629976, 0.22539903326845634]","[0.32853854669413063, 0.031004569666687853, 0.19526498491734734, 0.2338179890653409, 0.281391467416956]","[0.22129193914702328, 0.4261306101987816, 5.787849259419886e-06, 0.2346684548489586, 0.00010478261972779457]","[0.2975657265948852, 0.02285678010308445, 0.29067746009054596, 0.2228677119902901, 0.384322537688071]","[0.26633009231274396, 0.033541907991450515, 0.33768816253657774, 0.21069122713658883, 0.3850475763850343]"
92,"[0.563403512074725, 0.4081066487892655, 0.5638913310486791, 0.5546322909912382, 0.577529253266027]","[0.029511644142262594, 0.18944255556801104, 2.924235483925397e-05, 1.6469911912064816e-07, 0.11404551092371873]","[0.10134606581875927, 0.20440658460837036, 0.013333875368749748, 0.00019215160101071493, 9.993955067955085e-07]","[0.1855609419331622, 0.3501771767032259, 8.318141094421083e-05, 2.304245962925222e-06, 1.7459542008824158e-06]","[0.45632055161759744, 0.3982534802521773, 0.4512409724983484, 0.44177074370725267, 0.4870790648337443]","[0.509751330250297, 0.40908331713086943, 0.5244748126175953, 0.528658493339346, 0.5218583019799693]"
93,"[0.5192005655423928, 0.33668372520207546, 0.488519771942742, 0.28440374942782354, 0.227165837078816]","[0.013343122961299025, 0.11502537495385823, 9.995418014385749e-06, 0.29628466046320534, 0.04338207984674414]","[0.051281900156288085, 0.14714924946497276, 0.0006554723310139288, 0.34187050012113873, 0.28506835648771167]","[0.07295056361734908, 0.10614373714719716, 7.748474462054844e-08, 0.31143218105828696, 0.042119184353630046]","[0.0651122381147129, 0.3537784576240389, 0.000162457513129044, 0.28174685614682127, 0.0403359635604692]","[0.02740661984293824, 0.4096678763390976, 0.05685252490357828, 0.29531804807373774, 0.02371855390676436]"
94,"[0.5803278929654845, 0.5796676358890157, 0.5774903633723915, 0.5642329898199453, 0.5121527254256921]","[0.317700426867222, 0.1977372516223156, 0.12223213406811029, 0.06635437080598372, 0.217750758307501]","[0.29023410662872506, 0.1947594195206639, 0.14531840941227336, 0.07163732723864746, 0.3106733966000259]","[0.22888160489043163, 0.2015783686800201, 0.14695447971774, 0.07806262454897261, 0.1787850348448785]","[0.4214802947656443, 0.22147708254730913, 0.3018292894314861, 0.07305702836608641, 0.3078602967076288]","[0.44784326004417885, 0.40422606846429576, 0.3814688085215845, 0.4065143525348516, 0.37022232242710473]"
95,"[0.38131332013806196, 0.5016394636257215, 0.593263807377774, 0.5820289763226288, 0.5756890458616846]","[0.30256234212477795, 0.34295933485945973, 0.23837016598406746, 0.2560126113645592, 0.15303589495714998]","[0.29573297950566013, 0.38152020641759676, 0.3356875240217585, 0.26934427535543226, 0.1785600888520379]","[0.1926334866001479, 0.3117491976497534, 0.3659915720949185, 0.26274816575659243, 0.12823111730310355]","[0.46589768574722257, 0.5557562472476747, 0.2740606806506295, 0.15993451334873265, 0.14672166325130886]","[0.17780009393507712, 0.3627470390940396, 0.2449405115122114, 0.2515998830698878, 0.16681059774192986]"
96,"[0.5336542894424272, 0.5367877542863272, 0.5807266887915148, 0.5811111019620726, 0.5568182431370907]","[0.1603656439785175, 7.30218586619813e-06, 0.47803971037135506, 0.39319540020387667, 0.4785276498507033]","[0.3415766519325216, 4.367436556185211e-06, 0.46397961171833413, 0.46161630740600124, 0.4838893446796215]","[0.4166284419717904, 1.6421529092092157e-07, 0.20322643662065398, 0.4724239033019483, 0.5618133347414275]","[0.5215630537849502, 0.08189631974188616, 0.5666301030940321, 0.5304288746014115, 0.5503336515840525]","[0.571332038055133, 0.1356525501760164, 0.5824493447725677, 0.5784145128982022, 0.5486909414633692]"
97,"[0.33216240183619195, 0.35393834131318125, 0.3810604439698454, 0.48765157217289, 0.5513686692692024]","[0.24016099540867564, 0.27583030754388516, 4.871362080383079e-08, 0.46424683184388926, 0.5197577360584036]","[0.30008509647594694, 0.35329568174900816, 0.053521848720604503, 0.495355303124284, 0.5476802519819661]","[0.3327708261532619, 0.3635805877078797, 0.17375153307426572, 0.503445266770746, 0.56745941773094]","[0.349568072407917, 0.3810673046912234, 0.3627627897363672, 0.5184100943856325, 0.576540709536342]","[0.28845661835333836, 0.3467300534449379, 0.16051943435501703, 0.48885626109816305, 0.5492985152007533]"
98,"[0.5479176682368363, 0.48605648386390676, 0.5720029331163381, 0.590244734445668, 0.5542256914083689]","[0.2661157139727178, 0.2546105299711997, 0.2664279178740049, 0.28369487528043313, 0.3193410018648306]","[0.3383183893657198, 0.277410363206101, 0.25959093850404824, 0.25164171418383274, 0.2947916541918082]","[0.33104890364844297, 0.27371175365206635, 0.2912454195799228, 0.264024128554321, 0.3092432999033605]","[0.32467648797142556, 0.303864628393935, 0.3180378954005072, 0.278486471253897, 0.3509389232039708]","[0.2950585727117704, 0.3235269646262745, 0.36970389510253077, 0.32205353253790725, 0.40400083453326385]"
99,"[0.5492628574771187, 0.5993946861949431, 0.5841115736834346, 0.5830047987708193, 0.5714863431436488]","[0.28886763327679643, 0.3490718947901238, 0.17748634267255603, 9.89748572727267e-05, 0.34060273699078014]","[0.19325018040188957, 0.02239892764820295, 0.1638580350887442, 0.008093476966707702, 0.003255980126376068]","[0.08743365707253292, 5.284010429207342e-08, 0.16949679915593563, 1.2303451570772062e-05, 0.003989643582599456]","[0.521388504731444, 0.389743213113087, 0.2595416094854659, 0.04865979113220842, 0.2858496373368766]","[0.3663807373562348, 0.2736444713686391, 0.20522019077467135, 0.3986755039209824, 0.26083835926350774]"
